# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : x-Bjorken   
# xbins      : 60   
# xlabel     :  x-bjorken, x_{Bj}   
# xbin_width : 0.022 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.511,0.500,0.522,0.000,0.000
2,0.532,0.522,0.543,0.000,0.000
3,0.554,0.543,0.565,0.000,0.000
4,0.576,0.565,0.587,0.000,0.000
5,0.598,0.587,0.608,0.000,0.000
6,0.619,0.608,0.630,0.000,0.000
7,0.641,0.630,0.652,0.000,0.000
8,0.662,0.652,0.673,0.000,0.000
9,0.684,0.673,0.695,0.000,0.000
10,0.706,0.695,0.717,0.000,0.000
11,0.728,0.717,0.738,0.000,0.000
12,0.749,0.738,0.760,0.000,0.000
13,0.771,0.760,0.782,0.002,0.000
14,0.792,0.782,0.803,0.023,0.002
15,0.814,0.803,0.825,0.096,0.005
16,0.836,0.825,0.847,0.292,0.011
17,0.858,0.847,0.868,0.699,0.019
18,0.879,0.868,0.890,1.249,0.028
19,0.901,0.890,0.912,2.141,0.041
20,0.922,0.912,0.933,3.211,0.054
21,0.944,0.933,0.955,4.286,0.066
22,0.966,0.955,0.977,5.723,0.080
23,0.988,0.977,0.998,6.766,0.089
24,1.009,0.998,1.020,7.732,0.097
25,1.031,1.020,1.042,8.471,0.102
26,1.053,1.042,1.063,8.838,0.104
27,1.074,1.063,1.085,9.225,0.107
28,1.096,1.085,1.107,9.892,0.115
29,1.118,1.107,1.128,10.135,0.123
30,1.139,1.128,1.150,11.080,0.142
31,1.161,1.150,1.172,11.498,0.157
32,1.183,1.172,1.193,12.419,0.179
33,1.204,1.193,1.215,13.306,0.202
34,1.226,1.215,1.237,13.673,0.222
35,1.248,1.237,1.258,14.201,0.237
36,1.269,1.258,1.280,13.921,0.233
37,1.291,1.280,1.302,12.736,0.212
38,1.312,1.302,1.323,11.109,0.181
39,1.334,1.323,1.345,9.103,0.144
40,1.356,1.345,1.367,7.193,0.108
41,1.377,1.367,1.388,5.570,0.082
42,1.399,1.388,1.410,4.377,0.062
43,1.421,1.410,1.432,3.463,0.048
44,1.442,1.432,1.453,2.662,0.035
45,1.464,1.453,1.475,2.106,0.028
46,1.486,1.475,1.497,1.564,0.021
47,1.507,1.497,1.518,1.223,0.016
48,1.529,1.518,1.540,0.900,0.012
49,1.551,1.540,1.562,0.686,0.009
50,1.573,1.562,1.583,0.508,0.007
51,1.594,1.583,1.605,0.386,0.006
52,1.616,1.605,1.627,0.281,0.004
53,1.638,1.627,1.648,0.208,0.003
54,1.659,1.648,1.670,0.140,0.002
55,1.681,1.670,1.692,0.093,0.002
56,1.703,1.692,1.713,0.061,0.001
57,1.724,1.713,1.735,0.035,0.001
58,1.746,1.735,1.757,0.019,0.001
59,1.768,1.757,1.778,0.008,0.000
60,1.789,1.778,1.800,0.002,0.000
