# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : In-Plane Angle, $\theta_{pq}$ (vertex)   
# xbins      : 80   
# xlabel     :  in-plane angle, $\theta_{pq}$ [deg]   
# xbin_width : 0.250 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.125,0.000,0.250,0.009,0.003
2,0.375,0.250,0.500,0.024,0.004
3,0.625,0.500,0.750,0.042,0.004
4,0.875,0.750,1.000,0.068,0.006
5,1.125,1.000,1.250,0.102,0.008
6,1.375,1.250,1.500,0.161,0.011
7,1.625,1.500,1.750,0.189,0.012
8,1.875,1.750,2.000,0.250,0.015
9,2.125,2.000,2.250,0.308,0.016
10,2.375,2.250,2.500,0.373,0.018
11,2.625,2.500,2.750,0.429,0.019
12,2.875,2.750,3.000,0.550,0.025
13,3.125,3.000,3.250,0.551,0.021
14,3.375,3.250,3.500,0.660,0.026
15,3.625,3.500,3.750,0.727,0.026
16,3.875,3.750,4.000,0.830,0.029
17,4.125,4.000,4.250,0.919,0.032
18,4.375,4.250,4.500,1.008,0.033
19,4.625,4.500,4.750,1.030,0.032
20,4.875,4.750,5.000,1.121,0.033
21,5.125,5.000,5.250,1.175,0.034
22,5.375,5.250,5.500,1.176,0.032
23,5.625,5.500,5.750,1.239,0.032
24,5.875,5.750,6.000,1.247,0.031
25,6.125,6.000,6.250,1.254,0.030
26,6.375,6.250,6.500,1.283,0.030
27,6.625,6.500,6.750,1.236,0.029
28,6.875,6.750,7.000,1.249,0.028
29,7.125,7.000,7.250,1.210,0.026
30,7.375,7.250,7.500,1.180,0.025
31,7.625,7.500,7.750,1.154,0.024
32,7.875,7.750,8.000,1.066,0.022
33,8.125,8.000,8.250,0.951,0.020
34,8.375,8.250,8.500,0.883,0.018
35,8.625,8.500,8.750,0.791,0.016
36,8.875,8.750,9.000,0.716,0.015
37,9.125,9.000,9.250,0.654,0.014
38,9.375,9.250,9.500,0.570,0.012
39,9.625,9.500,9.750,0.516,0.011
40,9.875,9.750,10.000,0.418,0.009
41,10.125,10.000,10.250,0.371,0.009
42,10.375,10.250,10.500,0.313,0.007
43,10.625,10.500,10.750,0.266,0.007
44,10.875,10.750,11.000,0.218,0.006
45,11.125,11.000,11.250,0.166,0.005
46,11.375,11.250,11.500,0.130,0.004
47,11.625,11.500,11.750,0.105,0.004
48,11.875,11.750,12.000,0.077,0.003
49,12.125,12.000,12.250,0.046,0.002
50,12.375,12.250,12.500,0.030,0.002
51,12.625,12.500,12.750,0.014,0.001
52,12.875,12.750,13.000,0.004,0.001
53,13.125,13.000,13.250,0.000,0.000
54,13.375,13.250,13.500,0.000,0.000
55,13.625,13.500,13.750,0.000,0.000
56,13.875,13.750,14.000,0.000,0.000
57,14.125,14.000,14.250,0.000,0.000
58,14.375,14.250,14.500,0.000,0.000
59,14.625,14.500,14.750,0.000,0.000
60,14.875,14.750,15.000,0.000,0.000
61,15.125,15.000,15.250,0.000,0.000
62,15.375,15.250,15.500,0.000,0.000
63,15.625,15.500,15.750,0.000,0.000
64,15.875,15.750,16.000,0.000,0.000
65,16.125,16.000,16.250,0.000,0.000
66,16.375,16.250,16.500,0.000,0.000
67,16.625,16.500,16.750,0.000,0.000
68,16.875,16.750,17.000,0.000,0.000
69,17.125,17.000,17.250,0.000,0.000
70,17.375,17.250,17.500,0.000,0.000
71,17.625,17.500,17.750,0.000,0.000
72,17.875,17.750,18.000,0.000,0.000
73,18.125,18.000,18.250,0.000,0.000
74,18.375,18.250,18.500,0.000,0.000
75,18.625,18.500,18.750,0.000,0.000
76,18.875,18.750,19.000,0.000,0.000
77,19.125,19.000,19.250,0.000,0.000
78,19.375,19.250,19.500,0.000,0.000
79,19.625,19.500,19.750,0.000,0.000
80,19.875,19.750,20.000,0.000,0.000
