# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X'_{tar}   
# xbins      : 100   
# xlabel     :  X'_{tar} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.099,-0.100,-0.098,0.000,0.000
2,-0.097,-0.098,-0.096,0.000,0.000
3,-0.095,-0.096,-0.094,0.000,0.000
4,-0.093,-0.094,-0.092,0.000,0.000
5,-0.091,-0.092,-0.090,0.000,0.000
6,-0.089,-0.090,-0.088,0.000,0.000
7,-0.087,-0.088,-0.086,0.000,0.000
8,-0.085,-0.086,-0.084,0.000,0.000
9,-0.083,-0.084,-0.082,0.000,0.000
10,-0.081,-0.082,-0.080,0.000,0.000
11,-0.079,-0.080,-0.078,0.000,0.000
12,-0.077,-0.078,-0.076,0.000,0.000
13,-0.075,-0.076,-0.074,0.000,0.000
14,-0.073,-0.074,-0.072,0.000,0.000
15,-0.071,-0.072,-0.070,0.000,0.000
16,-0.069,-0.070,-0.068,2.742,0.701
17,-0.067,-0.068,-0.066,5.392,1.098
18,-0.065,-0.066,-0.064,5.302,0.996
19,-0.063,-0.064,-0.062,4.447,0.818
20,-0.061,-0.062,-0.060,7.341,1.310
21,-0.059,-0.060,-0.058,6.239,1.174
22,-0.057,-0.058,-0.056,5.553,1.010
23,-0.055,-0.056,-0.054,5.242,0.887
24,-0.053,-0.054,-0.052,5.270,0.742
25,-0.051,-0.052,-0.050,6.344,0.948
26,-0.049,-0.050,-0.048,8.558,1.271
27,-0.047,-0.048,-0.046,5.096,0.732
28,-0.045,-0.046,-0.044,6.881,1.016
29,-0.043,-0.044,-0.042,9.535,1.395
30,-0.041,-0.042,-0.040,7.372,1.018
31,-0.039,-0.040,-0.038,7.798,1.377
32,-0.037,-0.038,-0.036,8.557,1.084
33,-0.035,-0.036,-0.034,8.319,1.118
34,-0.033,-0.034,-0.032,10.503,1.509
35,-0.031,-0.032,-0.030,10.699,1.463
36,-0.029,-0.030,-0.028,8.469,1.125
37,-0.027,-0.028,-0.026,9.484,1.316
38,-0.025,-0.026,-0.024,10.911,1.374
39,-0.023,-0.024,-0.022,9.074,1.049
40,-0.021,-0.022,-0.020,10.053,1.480
41,-0.019,-0.020,-0.018,9.251,1.192
42,-0.017,-0.018,-0.016,9.728,1.237
43,-0.015,-0.016,-0.014,13.077,1.714
44,-0.013,-0.014,-0.012,10.129,1.426
45,-0.011,-0.012,-0.010,9.095,1.218
46,-0.009,-0.010,-0.008,11.416,1.444
47,-0.007,-0.008,-0.006,11.237,1.423
48,-0.005,-0.006,-0.004,10.303,1.176
49,-0.003,-0.004,-0.002,12.803,1.794
50,-0.001,-0.002,0.000,11.388,1.887
51,0.001,0.000,0.002,11.117,1.436
52,0.003,0.002,0.004,11.896,1.473
53,0.005,0.004,0.006,11.681,1.556
54,0.007,0.006,0.008,9.620,1.400
55,0.009,0.008,0.010,11.808,1.582
56,0.011,0.010,0.012,8.738,1.132
57,0.013,0.012,0.014,8.956,1.183
58,0.015,0.014,0.016,10.822,1.558
59,0.017,0.016,0.018,10.745,1.561
60,0.019,0.018,0.020,9.396,1.063
61,0.021,0.020,0.022,9.525,1.213
62,0.023,0.022,0.024,8.806,1.115
63,0.025,0.024,0.026,11.259,1.474
64,0.027,0.026,0.028,8.937,1.032
65,0.029,0.028,0.030,10.963,1.468
66,0.031,0.030,0.032,9.019,1.367
67,0.033,0.032,0.034,9.966,1.312
68,0.035,0.034,0.036,9.630,1.114
69,0.037,0.036,0.038,8.501,1.209
70,0.039,0.038,0.040,8.438,1.103
71,0.041,0.040,0.042,8.494,1.279
72,0.043,0.042,0.044,6.063,0.905
73,0.045,0.044,0.046,7.449,1.233
74,0.047,0.046,0.048,8.456,1.258
75,0.049,0.048,0.050,5.703,0.798
76,0.051,0.050,0.052,4.944,0.876
77,0.053,0.052,0.054,4.712,0.742
78,0.055,0.054,0.056,5.568,0.719
79,0.057,0.056,0.058,4.672,0.812
80,0.059,0.058,0.060,3.751,0.617
81,0.061,0.060,0.062,5.368,0.916
82,0.063,0.062,0.064,4.546,0.810
83,0.065,0.064,0.066,3.328,0.679
84,0.067,0.066,0.068,3.426,0.684
85,0.069,0.068,0.070,2.236,0.567
86,0.071,0.070,0.072,0.000,0.000
87,0.073,0.072,0.074,0.000,0.000
88,0.075,0.074,0.076,0.000,0.000
89,0.077,0.076,0.078,0.000,0.000
90,0.079,0.078,0.080,0.000,0.000
91,0.081,0.080,0.082,0.000,0.000
92,0.083,0.082,0.084,0.000,0.000
93,0.085,0.084,0.086,0.000,0.000
94,0.087,0.086,0.088,0.000,0.000
95,0.089,0.088,0.090,0.000,0.000
96,0.091,0.090,0.092,0.000,0.000
97,0.093,0.092,0.094,0.000,0.000
98,0.095,0.094,0.096,0.000,0.000
99,0.097,0.096,0.098,0.000,0.000
100,0.099,0.098,0.100,0.000,0.000
