# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X'_{tar}   
# xbins      : 60   
# xlabel     :  X'_{tar} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.059,-0.060,-0.058,0.000,0.000
2,-0.057,-0.058,-0.056,0.000,0.000
3,-0.055,-0.056,-0.054,0.000,0.000
4,-0.053,-0.054,-0.052,0.000,0.000
5,-0.051,-0.052,-0.050,0.000,0.000
6,-0.049,-0.050,-0.048,0.000,0.000
7,-0.047,-0.048,-0.046,0.001,0.000
8,-0.045,-0.046,-0.044,0.003,0.000
9,-0.043,-0.044,-0.042,0.010,0.001
10,-0.041,-0.042,-0.040,0.020,0.001
11,-0.039,-0.040,-0.038,0.037,0.002
12,-0.037,-0.038,-0.036,0.063,0.003
13,-0.035,-0.036,-0.034,0.096,0.004
14,-0.033,-0.034,-0.032,0.148,0.005
15,-0.031,-0.032,-0.030,0.226,0.008
16,-0.029,-0.030,-0.028,0.298,0.012
17,-0.027,-0.028,-0.026,0.422,0.016
18,-0.025,-0.026,-0.024,0.545,0.031
19,-0.023,-0.024,-0.022,0.769,0.043
20,-0.021,-0.022,-0.020,1.098,0.084
21,-0.019,-0.020,-0.018,1.453,0.153
22,-0.017,-0.018,-0.016,1.673,0.134
23,-0.015,-0.016,-0.014,2.452,0.214
24,-0.013,-0.014,-0.012,3.148,0.313
25,-0.011,-0.012,-0.010,3.326,0.283
26,-0.009,-0.010,-0.008,4.573,0.362
27,-0.007,-0.008,-0.006,4.447,0.313
28,-0.005,-0.006,-0.004,4.635,0.340
29,-0.003,-0.004,-0.002,5.873,0.424
30,-0.001,-0.002,0.000,5.795,0.408
31,0.001,0.000,0.002,5.421,0.418
32,0.003,0.002,0.004,5.500,0.416
33,0.005,0.004,0.006,5.620,0.477
34,0.007,0.006,0.008,4.297,0.334
35,0.009,0.008,0.010,3.673,0.241
36,0.011,0.010,0.012,3.420,0.258
37,0.013,0.012,0.014,3.002,0.297
38,0.015,0.014,0.016,2.000,0.137
39,0.017,0.016,0.018,1.600,0.097
40,0.019,0.018,0.020,1.208,0.094
41,0.021,0.020,0.022,0.921,0.044
42,0.023,0.022,0.024,0.685,0.024
43,0.025,0.024,0.026,0.581,0.030
44,0.027,0.026,0.028,0.403,0.011
45,0.029,0.028,0.030,0.303,0.008
46,0.031,0.030,0.032,0.222,0.006
47,0.033,0.032,0.034,0.151,0.005
48,0.035,0.034,0.036,0.098,0.003
49,0.037,0.036,0.038,0.064,0.003
50,0.039,0.038,0.040,0.040,0.002
51,0.041,0.040,0.042,0.022,0.001
52,0.043,0.042,0.044,0.009,0.001
53,0.045,0.044,0.046,0.002,0.000
54,0.047,0.046,0.048,0.000,0.000
55,0.049,0.048,0.050,0.000,0.000
56,0.051,0.050,0.052,0.000,0.000
57,0.053,0.052,0.054,0.000,0.000
58,0.055,0.054,0.056,0.000,0.000
59,0.057,0.056,0.058,0.000,0.000
60,0.059,0.058,0.060,0.000,0.000
