# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS z-Target (Lab)   
# xbins      : 60   
# xlabel     :  z-Target [cm]   
# xbin_width : 0.333 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.833,-10.000,-9.667,0.000,0.000
2,-9.500,-9.667,-9.333,0.000,0.000
3,-9.167,-9.333,-9.000,0.000,0.000
4,-8.833,-9.000,-8.667,0.000,0.000
5,-8.500,-8.667,-8.333,0.000,0.000
6,-8.167,-8.333,-8.000,0.000,0.000
7,-7.833,-8.000,-7.667,0.000,0.000
8,-7.500,-7.667,-7.333,0.000,0.000
9,-7.167,-7.333,-7.000,0.000,0.000
10,-6.833,-7.000,-6.667,0.000,0.000
11,-6.500,-6.667,-6.333,0.008,0.007
12,-6.167,-6.333,-6.000,0.006,0.006
13,-5.833,-6.000,-5.667,0.000,0.000
14,-5.500,-5.667,-5.333,0.016,0.011
15,-5.167,-5.333,-5.000,0.036,0.018
16,-4.833,-5.000,-4.667,0.112,0.035
17,-4.500,-4.667,-4.333,0.251,0.062
18,-4.167,-4.333,-4.000,0.569,0.086
19,-3.833,-4.000,-3.667,1.493,0.175
20,-3.500,-3.667,-3.333,3.583,0.300
21,-3.167,-3.333,-3.000,9.036,0.551
22,-2.833,-3.000,-2.667,19.624,0.857
23,-2.500,-2.667,-2.333,42.597,1.351
24,-2.167,-2.333,-2.000,76.837,1.835
25,-1.833,-2.000,-1.667,118.796,2.262
26,-1.500,-1.667,-1.333,180.895,2.861
27,-1.167,-1.333,-1.000,234.631,3.237
28,-0.833,-1.000,-0.667,284.578,3.550
29,-0.500,-0.667,-0.333,318.216,3.832
30,-0.167,-0.333,0.000,338.506,3.904
31,0.167,0.000,0.333,341.194,3.915
32,0.500,0.333,0.667,322.136,3.732
33,0.833,0.667,1.000,287.258,3.497
34,1.167,1.000,1.333,242.193,3.273
35,1.500,1.333,1.667,190.641,2.913
36,1.833,1.667,2.000,137.055,2.456
37,2.167,2.000,2.333,87.273,1.952
38,2.500,2.333,2.667,51.054,1.568
39,2.833,2.667,3.000,25.363,1.054
40,3.167,3.000,3.333,12.140,0.858
41,3.500,3.333,3.667,5.236,0.576
42,3.833,3.667,4.000,2.462,0.454
43,4.167,4.000,4.333,0.846,0.252
44,4.500,4.333,4.667,0.271,0.070
45,4.833,4.667,5.000,0.134,0.048
46,5.167,5.000,5.333,0.006,0.005
47,5.500,5.333,5.667,0.004,0.003
48,5.833,5.667,6.000,0.019,0.019
49,6.167,6.000,6.333,0.000,0.000
50,6.500,6.333,6.667,0.000,0.000
51,6.833,6.667,7.000,0.000,0.000
52,7.167,7.000,7.333,0.000,0.000
53,7.500,7.333,7.667,0.000,0.000
54,7.833,7.667,8.000,0.000,0.000
55,8.167,8.000,8.333,0.000,0.000
56,8.500,8.333,8.667,0.000,0.000
57,8.833,8.667,9.000,0.000,0.000
58,9.167,9.000,9.333,0.000,0.000
59,9.500,9.333,9.667,0.000,0.000
60,9.833,9.667,10.000,0.000,0.000
