# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : x-Bjorken   
# xbins      : 60   
# xlabel     :  x-bjorken, x_{Bj}   
# xbin_width : 0.022 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.511,0.500,0.522,0.000,0.000
2,0.532,0.522,0.543,0.000,0.000
3,0.554,0.543,0.565,0.000,0.000
4,0.576,0.565,0.587,0.000,0.000
5,0.598,0.587,0.608,0.000,0.000
6,0.619,0.608,0.630,0.000,0.000
7,0.641,0.630,0.652,0.000,0.000
8,0.662,0.652,0.673,0.000,0.000
9,0.684,0.673,0.695,0.000,0.000
10,0.706,0.695,0.717,0.000,0.000
11,0.728,0.717,0.738,0.000,0.000
12,0.749,0.738,0.760,0.000,0.000
13,0.771,0.760,0.782,0.000,0.000
14,0.792,0.782,0.803,0.000,0.000
15,0.814,0.803,0.825,0.000,0.000
16,0.836,0.825,0.847,0.000,0.000
17,0.858,0.847,0.868,0.000,0.000
18,0.879,0.868,0.890,0.003,0.003
19,0.901,0.890,0.912,0.027,0.012
20,0.922,0.912,0.933,0.253,0.040
21,0.944,0.933,0.955,1.090,0.092
22,0.966,0.955,0.977,3.882,0.200
23,0.988,0.977,0.998,9.377,0.337
24,1.009,0.998,1.020,19.904,0.528
25,1.031,1.020,1.042,33.898,0.716
26,1.053,1.042,1.063,52.264,0.921
27,1.074,1.063,1.085,69.862,1.136
28,1.096,1.085,1.107,86.147,1.351
29,1.118,1.107,1.128,106.607,1.667
30,1.139,1.128,1.150,122.452,1.992
31,1.161,1.150,1.172,145.828,2.410
32,1.183,1.172,1.193,160.764,2.700
33,1.204,1.193,1.215,185.372,3.183
34,1.226,1.215,1.237,204.361,3.495
35,1.248,1.237,1.258,208.545,3.565
36,1.269,1.258,1.280,233.071,3.975
37,1.291,1.280,1.302,228.620,3.873
38,1.312,1.302,1.323,222.582,3.746
39,1.334,1.323,1.345,210.883,3.482
40,1.356,1.345,1.367,198.120,3.181
41,1.377,1.367,1.388,178.581,2.857
42,1.399,1.388,1.410,150.232,2.384
43,1.421,1.410,1.432,118.810,1.826
44,1.442,1.432,1.453,86.907,1.309
45,1.464,1.453,1.475,68.098,1.000
46,1.486,1.475,1.497,53.961,0.759
47,1.507,1.497,1.518,41.126,0.566
48,1.529,1.518,1.540,31.877,0.424
49,1.551,1.540,1.562,24.284,0.319
50,1.573,1.562,1.583,19.323,0.249
51,1.594,1.583,1.605,14.785,0.188
52,1.616,1.605,1.627,11.365,0.146
53,1.638,1.627,1.648,8.687,0.114
54,1.659,1.648,1.670,6.802,0.090
55,1.681,1.670,1.692,4.911,0.069
56,1.703,1.692,1.713,3.719,0.053
57,1.724,1.713,1.735,2.692,0.041
58,1.746,1.735,1.757,1.916,0.031
59,1.768,1.757,1.778,1.346,0.023
60,1.789,1.778,1.800,0.832,0.017
