# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : 4-Momentum Transfer, Q^{2} (vertex)   
# xbins      : 40   
# xlabel     :  4-momentum transfer, Q^{2} [GeV^{2}]   
# xbin_width : 0.037 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,1.019,1.000,1.038,0.000,0.000
2,1.056,1.038,1.075,1.806,0.743
3,1.094,1.075,1.113,3308.902,409.022
4,1.131,1.113,1.150,129097.391,6117.886
5,1.169,1.150,1.188,194207.375,7587.934
6,1.206,1.188,1.225,192054.578,6497.185
7,1.244,1.225,1.262,169608.531,5299.676
8,1.281,1.262,1.300,136944.875,3924.571
9,1.319,1.300,1.337,110527.219,3051.445
10,1.356,1.337,1.375,81413.539,2078.881
11,1.394,1.375,1.413,60122.586,1461.462
12,1.431,1.413,1.450,45056.602,1067.057
13,1.469,1.450,1.488,34712.230,776.929
14,1.506,1.488,1.525,24982.682,541.926
15,1.544,1.525,1.562,19239.248,397.649
16,1.581,1.562,1.600,14817.069,306.028
17,1.619,1.600,1.637,10745.866,212.726
18,1.656,1.637,1.675,7753.732,156.628
19,1.694,1.675,1.712,5611.638,112.318
20,1.731,1.712,1.750,3961.681,78.282
21,1.769,1.750,1.788,2915.537,56.544
22,1.806,1.788,1.825,2076.958,40.084
23,1.844,1.825,1.862,1511.981,28.815
24,1.881,1.862,1.900,1107.844,20.558
25,1.919,1.900,1.938,764.176,14.098
26,1.956,1.938,1.975,566.840,10.138
27,1.994,1.975,2.013,411.845,7.380
28,2.031,2.013,2.050,296.831,5.174
29,2.069,2.050,2.087,223.597,3.689
30,2.106,2.087,2.125,170.376,2.801
31,2.144,2.125,2.162,125.886,2.029
32,2.181,2.162,2.200,95.368,1.499
33,2.219,2.200,2.237,73.834,1.135
34,2.256,2.237,2.275,55.571,0.842
35,2.294,2.275,2.312,44.083,0.659
36,2.331,2.312,2.350,34.377,0.502
37,2.369,2.350,2.388,27.414,0.399
38,2.406,2.388,2.425,21.858,0.316
39,2.444,2.425,2.462,16.935,0.248
40,2.481,2.462,2.500,13.584,0.202
