# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Invariant Mass, W   
# xbins      : 100   
# xlabel     :  invariant mass, W [GeV]   
# xbin_width : 0.017 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.192,-0.200,-0.183,3.044,0.095
2,-0.174,-0.183,-0.166,3.048,0.097
3,-0.158,-0.166,-0.149,2.703,0.093
4,-0.141,-0.149,-0.132,2.624,0.092
5,-0.123,-0.132,-0.115,2.348,0.088
6,-0.107,-0.115,-0.098,2.101,0.085
7,-0.089,-0.098,-0.081,1.840,0.080
8,-0.073,-0.081,-0.064,1.489,0.073
9,-0.055,-0.064,-0.047,1.196,0.066
10,-0.038,-0.047,-0.030,0.791,0.053
11,-0.022,-0.030,-0.013,0.436,0.039
12,-0.005,-0.013,0.004,0.144,0.023
13,0.013,0.004,0.021,0.282,0.033
14,0.030,0.021,0.038,0.622,0.047
15,0.046,0.038,0.055,0.937,0.058
16,0.064,0.055,0.072,1.328,0.070
17,0.081,0.072,0.089,1.796,0.081
18,0.098,0.089,0.106,2.249,0.094
19,0.115,0.106,0.123,2.773,0.106
20,0.132,0.123,0.140,3.352,0.118
21,0.149,0.140,0.157,3.921,0.131
22,0.166,0.157,0.174,4.306,0.139
23,0.182,0.174,0.191,5.067,0.153
24,0.200,0.191,0.208,5.800,0.168
25,0.217,0.208,0.225,6.808,0.186
26,0.234,0.225,0.242,7.738,0.206
27,0.251,0.242,0.259,9.206,0.231
28,0.268,0.259,0.276,10.670,0.259
29,0.285,0.276,0.293,12.154,0.286
30,0.301,0.293,0.310,13.760,0.312
31,0.319,0.310,0.327,15.791,0.353
32,0.336,0.327,0.344,18.514,0.400
33,0.353,0.344,0.361,20.165,0.437
34,0.370,0.361,0.378,24.034,0.506
35,0.387,0.378,0.395,28.966,0.586
36,0.404,0.395,0.412,35.424,0.692
37,0.421,0.412,0.429,40.557,0.795
38,0.438,0.429,0.446,47.249,0.913
39,0.455,0.446,0.463,57.444,1.092
40,0.472,0.463,0.480,68.224,1.286
41,0.489,0.480,0.497,84.769,1.581
42,0.506,0.497,0.514,105.901,1.935
43,0.523,0.514,0.531,123.462,2.264
44,0.540,0.531,0.548,157.392,2.850
45,0.556,0.548,0.565,189.510,3.447
46,0.574,0.565,0.582,240.661,4.311
47,0.591,0.582,0.599,309.556,5.533
48,0.608,0.599,0.616,385.743,6.951
49,0.625,0.616,0.633,496.439,9.021
50,0.642,0.633,0.650,662.118,11.944
51,0.659,0.650,0.667,869.356,15.860
52,0.676,0.667,0.684,1132.497,20.907
53,0.693,0.684,0.701,1598.580,29.109
54,0.710,0.701,0.718,1991.211,38.093
55,0.727,0.718,0.735,2931.681,55.650
56,0.744,0.735,0.752,4168.047,81.218
57,0.761,0.752,0.769,5742.605,115.839
58,0.778,0.769,0.786,8338.425,168.873
59,0.795,0.786,0.803,12376.481,261.745
60,0.812,0.803,0.820,17649.279,393.347
61,0.829,0.820,0.837,26840.502,631.040
62,0.846,0.837,0.854,39935.391,1007.358
63,0.863,0.854,0.871,63466.625,1734.065
64,0.880,0.871,0.888,93521.852,2763.944
65,0.897,0.888,0.905,133997.828,4423.886
66,0.914,0.905,0.922,173353.688,6033.172
67,0.931,0.922,0.939,197633.000,7007.463
68,0.948,0.939,0.956,182207.625,7186.017
69,0.965,0.956,0.973,118348.062,4486.719
70,0.982,0.973,0.990,72780.508,2740.961
71,0.999,0.990,1.007,38249.742,1333.948
72,1.016,1.007,1.024,21160.256,610.087
73,1.033,1.024,1.041,13142.785,357.764
74,1.050,1.041,1.058,7304.363,178.718
75,1.067,1.058,1.075,4809.897,112.623
76,1.084,1.075,1.092,3088.779,67.301
77,1.101,1.092,1.109,1970.747,43.010
78,1.118,1.109,1.126,1259.880,28.485
79,1.135,1.126,1.143,795.171,19.243
80,1.152,1.143,1.160,481.130,12.964
81,1.169,1.160,1.177,240.102,8.260
82,1.186,1.177,1.194,84.244,4.343
83,1.203,1.194,1.211,10.225,1.269
84,1.220,1.211,1.228,0.861,0.320
85,1.237,1.228,1.245,0.000,0.000
86,1.254,1.245,1.262,0.000,0.000
87,1.271,1.262,1.279,0.000,0.000
88,1.288,1.279,1.296,0.000,0.000
89,1.304,1.296,1.313,0.000,0.000
90,1.322,1.313,1.330,0.000,0.000
91,1.339,1.330,1.347,0.000,0.000
92,1.356,1.347,1.364,0.000,0.000
93,1.373,1.364,1.381,0.000,0.000
94,1.390,1.381,1.398,0.000,0.000
95,1.407,1.398,1.415,0.000,0.000
96,1.424,1.415,1.432,0.000,0.000
97,1.441,1.432,1.449,0.000,0.000
98,1.458,1.449,1.466,0.000,0.000
99,1.475,1.466,1.483,0.000,0.000
100,1.492,1.483,1.500,0.000,0.000
