# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X'_{tar}   
# xbins      : 60   
# xlabel     :  X'_{tar} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.059,-0.060,-0.058,0.000,0.000
2,-0.057,-0.058,-0.056,0.000,0.000
3,-0.055,-0.056,-0.054,0.000,0.000
4,-0.053,-0.054,-0.052,0.000,0.000
5,-0.051,-0.052,-0.050,0.000,0.000
6,-0.049,-0.050,-0.048,0.874,0.077
7,-0.047,-0.048,-0.046,23.767,0.488
8,-0.045,-0.046,-0.044,51.361,0.846
9,-0.043,-0.044,-0.042,67.981,1.065
10,-0.041,-0.042,-0.040,84.052,1.292
11,-0.039,-0.040,-0.038,105.043,1.559
12,-0.037,-0.038,-0.036,125.435,1.824
13,-0.035,-0.036,-0.034,150.724,2.136
14,-0.033,-0.034,-0.032,185.738,2.564
15,-0.031,-0.032,-0.030,235.639,3.213
16,-0.029,-0.030,-0.028,302.945,4.224
17,-0.027,-0.028,-0.026,401.339,6.170
18,-0.025,-0.026,-0.024,595.557,10.165
19,-0.023,-0.024,-0.022,943.292,19.554
20,-0.021,-0.022,-0.020,1554.512,35.339
21,-0.019,-0.020,-0.018,2752.132,73.033
22,-0.017,-0.018,-0.016,4998.613,141.318
23,-0.015,-0.016,-0.014,9270.116,285.416
24,-0.013,-0.014,-0.012,18593.822,658.393
25,-0.011,-0.012,-0.010,34007.863,1386.306
26,-0.009,-0.010,-0.008,56620.109,2433.329
27,-0.007,-0.008,-0.006,87931.844,3552.526
28,-0.005,-0.006,-0.004,117394.219,4480.518
29,-0.003,-0.004,-0.002,142915.094,5470.762
30,-0.001,-0.002,0.000,153722.109,5675.970
31,0.001,0.000,0.002,139960.094,5070.019
32,0.003,0.002,0.004,146671.891,5246.990
33,0.005,0.004,0.006,113768.969,4225.380
34,0.007,0.006,0.008,87293.766,3790.499
35,0.009,0.008,0.010,60997.805,2791.409
36,0.011,0.010,0.012,34737.074,1437.998
37,0.013,0.012,0.014,17347.572,606.645
38,0.015,0.014,0.016,9169.647,292.104
39,0.017,0.016,0.018,5294.159,148.850
40,0.019,0.018,0.020,2796.875,71.956
41,0.021,0.020,0.022,1609.213,36.646
42,0.023,0.022,0.024,1005.762,19.804
43,0.025,0.024,0.026,561.683,9.940
44,0.027,0.026,0.028,300.826,4.763
45,0.029,0.028,0.030,146.054,2.393
46,0.031,0.030,0.032,41.793,0.983
47,0.033,0.032,0.034,1.231,0.139
48,0.035,0.034,0.036,0.000,0.000
49,0.037,0.036,0.038,0.000,0.000
50,0.039,0.038,0.040,0.000,0.000
51,0.041,0.040,0.042,0.000,0.000
52,0.043,0.042,0.044,0.000,0.000
53,0.045,0.044,0.046,0.000,0.000
54,0.047,0.046,0.048,0.000,0.000
55,0.049,0.048,0.050,0.000,0.000
56,0.051,0.050,0.052,0.000,0.000
57,0.053,0.052,0.054,0.000,0.000
58,0.055,0.054,0.056,0.000,0.000
59,0.057,0.056,0.058,0.000,0.000
60,0.059,0.058,0.060,0.000,0.000
