# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Energy Transfer, $\nu   
# xbins      : 40   
# xlabel     :  energy transfer, #nu [GeV]   
# xbin_width : 0.017 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.509,0.500,0.517,0.000,0.000
2,0.526,0.517,0.535,0.000,0.000
3,0.544,0.535,0.552,0.000,0.000
4,0.561,0.552,0.570,0.000,0.000
5,0.579,0.570,0.588,0.000,0.000
6,0.596,0.588,0.605,56130.234,4594.787
7,0.614,0.605,0.622,187784.219,7378.922
8,0.631,0.622,0.640,223501.250,7458.017
9,0.649,0.640,0.657,201641.094,5681.874
10,0.666,0.657,0.675,155889.875,4313.301
11,0.684,0.675,0.693,121128.438,3079.291
12,0.701,0.693,0.710,87886.820,1982.519
13,0.719,0.710,0.728,63737.375,1371.187
14,0.736,0.728,0.745,49303.273,981.985
15,0.754,0.745,0.762,34803.215,614.621
16,0.771,0.762,0.780,25563.799,426.657
17,0.789,0.780,0.797,18850.760,284.459
18,0.806,0.797,0.815,13644.923,196.629
19,0.824,0.815,0.833,9333.215,128.062
20,0.841,0.833,0.850,3687.229,51.561
21,0.859,0.850,0.867,1155.483,16.203
22,0.876,0.867,0.885,389.774,5.454
23,0.894,0.885,0.902,162.795,2.500
24,0.911,0.902,0.920,76.131,1.365
25,0.929,0.920,0.938,38.923,0.821
26,0.946,0.938,0.955,19.472,0.505
27,0.964,0.955,0.972,10.001,0.321
28,0.981,0.972,0.990,5.236,0.207
29,0.999,0.990,1.007,2.221,0.123
30,1.016,1.007,1.025,0.798,0.067
31,1.034,1.025,1.042,0.145,0.023
32,1.051,1.042,1.060,0.036,0.011
33,1.069,1.060,1.077,0.000,0.000
34,1.086,1.077,1.095,0.000,0.000
35,1.104,1.095,1.112,0.000,0.000
36,1.121,1.112,1.130,0.000,0.000
37,1.139,1.130,1.147,0.000,0.000
38,1.156,1.147,1.165,0.000,0.000
39,1.174,1.165,1.182,0.000,0.000
40,1.191,1.182,1.200,0.000,0.000
