# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Electron Scattering Angle, $\theta_{e}$ (vertex)   
# xbins      : 40   
# xlabel     :  e^{-}$ scattering angle, $\theta_{e}  [deg]   
# xbin_width : 0.125 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,5.062,5.000,5.125,0.000,0.000
2,5.188,5.125,5.250,0.000,0.000
3,5.312,5.250,5.375,0.000,0.000
4,5.438,5.375,5.500,0.000,0.000
5,5.562,5.500,5.625,10.404,4.635
6,5.688,5.625,5.750,118768.852,5969.832
7,5.812,5.750,5.875,256089.562,8530.101
8,5.938,5.875,6.000,252078.734,7034.135
9,6.062,6.000,6.125,190770.328,4750.822
10,6.188,6.125,6.250,147347.188,3403.777
11,6.312,6.250,6.375,97438.242,2050.133
12,6.438,6.375,6.500,64858.109,1275.218
13,6.562,6.500,6.625,45140.223,842.900
14,6.688,6.625,6.750,29746.566,515.605
15,6.812,6.750,6.875,20443.951,341.831
16,6.938,6.875,7.000,12584.605,207.340
17,7.062,7.000,7.125,7826.724,127.757
18,7.188,7.125,7.250,4624.506,72.493
19,7.312,7.250,7.375,2866.199,44.029
20,7.438,7.375,7.500,1655.482,24.629
21,7.562,7.500,7.625,987.457,14.233
22,7.688,7.625,7.750,579.327,8.028
23,7.812,7.750,7.875,356.618,4.591
24,7.938,7.875,8.000,216.798,2.689
25,8.062,8.000,8.125,134.877,1.596
26,8.188,8.125,8.250,86.243,0.984
27,8.312,8.250,8.375,56.339,0.618
28,8.438,8.375,8.500,37.538,0.404
29,8.562,8.500,8.625,24.590,0.268
30,8.688,8.625,8.750,14.107,0.176
31,8.812,8.750,8.875,0.680,0.033
32,8.938,8.875,9.000,0.000,0.000
33,9.062,9.000,9.125,0.000,0.000
34,9.188,9.125,9.250,0.000,0.000
35,9.312,9.250,9.375,0.000,0.000
36,9.438,9.375,9.500,0.000,0.000
37,9.562,9.500,9.625,0.000,0.000
38,9.688,9.625,9.750,0.000,0.000
39,9.812,9.750,9.875,0.000,0.000
40,9.938,9.875,10.000,0.000,0.000
