# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS z_Target (Lab)   
# xbins      : 60   
# xlabel     :  z-Target [cm]   
# xbin_width : 0.333 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.833,-10.000,-9.667,0.000,0.000
2,-9.500,-9.667,-9.333,0.000,0.000
3,-9.167,-9.333,-9.000,0.000,0.000
4,-8.833,-9.000,-8.667,0.000,0.000
5,-8.500,-8.667,-8.333,0.000,0.000
6,-8.167,-8.333,-8.000,0.000,0.000
7,-7.833,-8.000,-7.667,0.000,0.000
8,-7.500,-7.667,-7.333,0.000,0.000
9,-7.167,-7.333,-7.000,0.000,0.000
10,-6.833,-7.000,-6.667,0.000,0.000
11,-6.500,-6.667,-6.333,0.006,0.006
12,-6.167,-6.333,-6.000,0.000,0.000
13,-5.833,-6.000,-5.667,0.025,0.018
14,-5.500,-5.667,-5.333,0.125,0.115
15,-5.167,-5.333,-5.000,0.146,0.117
16,-4.833,-5.000,-4.667,0.080,0.042
17,-4.500,-4.667,-4.333,0.220,0.110
18,-4.167,-4.333,-4.000,4.118,1.906
19,-3.833,-4.000,-3.667,1.965,0.821
20,-3.500,-3.667,-3.333,3.470,0.911
21,-3.167,-3.333,-3.000,5.179,1.180
22,-2.833,-3.000,-2.667,17.685,2.734
23,-2.500,-2.667,-2.333,22.571,2.806
24,-2.167,-2.333,-2.000,54.898,5.312
25,-1.833,-2.000,-1.667,111.219,9.193
26,-1.500,-1.667,-1.333,206.789,11.822
27,-1.167,-1.333,-1.000,334.672,17.168
28,-0.833,-1.000,-0.667,399.251,18.768
29,-0.500,-0.667,-0.333,427.405,19.070
30,-0.167,-0.333,0.000,424.832,17.513
31,0.167,0.000,0.333,425.493,17.538
32,0.500,0.333,0.667,405.726,16.752
33,0.833,0.667,1.000,402.929,18.110
34,1.167,1.000,1.333,391.771,18.905
35,1.500,1.333,1.667,246.887,14.716
36,1.833,1.667,2.000,124.915,11.111
37,2.167,2.000,2.333,53.694,5.795
38,2.500,2.333,2.667,32.532,4.855
39,2.833,2.667,3.000,15.940,3.782
40,3.167,3.000,3.333,13.408,4.829
41,3.500,3.333,3.667,2.265,0.872
42,3.833,3.667,4.000,1.268,0.496
43,4.167,4.000,4.333,0.718,0.385
44,4.500,4.333,4.667,0.319,0.121
45,4.833,4.667,5.000,0.812,0.411
46,5.167,5.000,5.333,0.801,0.778
47,5.500,5.333,5.667,0.009,0.005
48,5.833,5.667,6.000,0.005,0.003
49,6.167,6.000,6.333,0.081,0.081
50,6.500,6.333,6.667,0.000,0.000
51,6.833,6.667,7.000,0.003,0.003
52,7.167,7.000,7.333,0.003,0.003
53,7.500,7.333,7.667,0.000,0.000
54,7.833,7.667,8.000,0.000,0.000
55,8.167,8.000,8.333,0.000,0.000
56,8.500,8.333,8.667,0.000,0.000
57,8.833,8.667,9.000,0.000,0.000
58,9.167,9.000,9.333,0.000,0.000
59,9.500,9.333,9.667,0.000,0.000
60,9.833,9.667,10.000,0.000,0.000
