# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X'_{tar}   
# xbins      : 60   
# xlabel     :  X'_{tar} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.059,-0.060,-0.058,0.000,0.000
2,-0.057,-0.058,-0.056,0.000,0.000
3,-0.055,-0.056,-0.054,0.000,0.000
4,-0.053,-0.054,-0.052,0.000,0.000
5,-0.051,-0.052,-0.050,0.000,0.000
6,-0.049,-0.050,-0.048,0.121,0.004
7,-0.047,-0.048,-0.046,0.691,0.011
8,-0.045,-0.046,-0.044,0.908,0.014
9,-0.043,-0.044,-0.042,1.148,0.018
10,-0.041,-0.042,-0.040,1.356,0.022
11,-0.039,-0.040,-0.038,1.620,0.028
12,-0.037,-0.038,-0.036,1.993,0.039
13,-0.035,-0.036,-0.034,2.527,0.053
14,-0.033,-0.034,-0.032,3.286,0.085
15,-0.031,-0.032,-0.030,3.856,0.104
16,-0.029,-0.030,-0.028,5.540,0.185
17,-0.027,-0.028,-0.026,7.514,0.300
18,-0.025,-0.026,-0.024,10.073,0.418
19,-0.023,-0.024,-0.022,13.500,0.562
20,-0.021,-0.022,-0.020,19.406,0.977
21,-0.019,-0.020,-0.018,21.564,1.051
22,-0.017,-0.018,-0.016,29.791,1.471
23,-0.015,-0.016,-0.014,38.741,1.851
24,-0.013,-0.014,-0.012,40.022,1.889
25,-0.011,-0.012,-0.010,48.250,2.625
26,-0.009,-0.010,-0.008,54.395,2.597
27,-0.007,-0.008,-0.006,54.781,2.431
28,-0.005,-0.006,-0.004,60.153,2.752
29,-0.003,-0.004,-0.002,63.341,3.112
30,-0.001,-0.002,0.000,66.422,3.036
31,0.001,0.000,0.002,66.670,3.209
32,0.003,0.002,0.004,60.508,2.823
33,0.005,0.004,0.006,59.735,2.860
34,0.007,0.006,0.008,51.570,2.370
35,0.009,0.008,0.010,53.150,2.521
36,0.011,0.010,0.012,44.702,2.030
37,0.013,0.012,0.014,41.574,1.945
38,0.015,0.014,0.016,34.100,1.725
39,0.017,0.016,0.018,27.279,1.264
40,0.019,0.018,0.020,25.254,1.212
41,0.021,0.020,0.022,18.372,0.813
42,0.023,0.022,0.024,14.511,0.679
43,0.025,0.024,0.026,10.442,0.396
44,0.027,0.026,0.028,7.550,0.275
45,0.029,0.028,0.030,5.826,0.181
46,0.031,0.030,0.032,4.535,0.134
47,0.033,0.032,0.034,3.381,0.087
48,0.035,0.034,0.036,2.577,0.055
49,0.037,0.036,0.038,2.089,0.039
50,0.039,0.038,0.040,1.621,0.028
51,0.041,0.040,0.042,1.347,0.022
52,0.043,0.042,0.044,1.065,0.017
53,0.045,0.044,0.046,0.774,0.013
54,0.047,0.046,0.048,0.508,0.009
55,0.049,0.048,0.050,0.099,0.004
56,0.051,0.050,0.052,0.000,0.000
57,0.053,0.052,0.054,0.000,0.000
58,0.055,0.054,0.056,0.000,0.000
59,0.057,0.056,0.058,0.000,0.000
60,0.059,0.058,0.060,0.000,0.000
