# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Missing Momentum, P_{miss} (no cuts, DAQ rates)   
# xbins      : 30   
# xlabel     :  missing momentum, P_{m} [GeV/c]   
# xbin_width : 0.040 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.020,0.000,0.040,0.000,0.000
2,0.060,0.040,0.080,0.000,0.000
3,0.100,0.080,0.120,0.000,0.000
4,0.140,0.120,0.160,6.628,0.664
5,0.180,0.160,0.200,57.903,1.339
6,0.220,0.200,0.240,81.919,1.036
7,0.260,0.240,0.280,70.479,0.699
8,0.300,0.280,0.320,53.944,0.555
9,0.340,0.320,0.360,43.293,0.485
10,0.380,0.360,0.400,37.649,0.412
11,0.420,0.400,0.440,34.393,0.409
12,0.460,0.440,0.480,31.181,0.428
13,0.500,0.480,0.520,27.681,0.490
14,0.540,0.520,0.560,23.296,0.510
15,0.580,0.560,0.600,19.237,0.443
16,0.620,0.600,0.640,15.258,0.298
17,0.660,0.640,0.680,13.167,0.478
18,0.700,0.680,0.720,10.700,0.339
19,0.740,0.720,0.760,9.326,0.425
20,0.780,0.760,0.800,7.445,0.307
21,0.820,0.800,0.840,6.830,0.307
22,0.860,0.840,0.880,6.397,0.323
23,0.900,0.880,0.920,5.729,0.272
24,0.940,0.920,0.960,5.351,0.383
25,0.980,0.960,1.000,5.148,0.323
26,1.020,1.000,1.040,4.880,0.320
27,1.060,1.040,1.080,4.601,0.294
28,1.100,1.080,1.120,4.569,0.290
29,1.140,1.120,1.160,4.739,0.311
30,1.180,1.160,1.200,4.479,0.291
