# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Momentum Acceptance, $\delta   
# xbins      : 60   
# xlabel     :  #delta [%]   
# xbin_width : 0.500 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-14.750,-15.000,-14.500,0.000,0.000
2,-14.250,-14.500,-14.000,0.000,0.000
3,-13.750,-14.000,-13.500,0.000,0.000
4,-13.250,-13.500,-13.000,0.000,0.000
5,-12.750,-13.000,-12.500,0.000,0.000
6,-12.250,-12.500,-12.000,0.000,0.000
7,-11.750,-12.000,-11.500,0.000,0.000
8,-11.250,-11.500,-11.000,0.000,0.000
9,-10.750,-11.000,-10.500,0.000,0.000
10,-10.250,-10.500,-10.000,0.000,0.000
11,-9.750,-10.000,-9.500,4.370,0.172
12,-9.250,-9.500,-9.000,5.822,0.206
13,-8.750,-9.000,-8.500,7.220,0.244
14,-8.250,-8.500,-8.000,7.208,0.246
15,-7.750,-8.000,-7.500,7.952,0.257
16,-7.250,-7.500,-7.000,8.916,0.310
17,-6.750,-7.000,-6.500,9.131,0.324
18,-6.250,-6.500,-6.000,9.686,0.326
19,-5.750,-6.000,-5.500,9.496,0.295
20,-5.250,-5.500,-5.000,8.904,0.276
21,-4.750,-5.000,-4.500,9.043,0.256
22,-4.250,-4.500,-4.000,9.120,0.261
23,-3.750,-4.000,-3.500,8.809,0.230
24,-3.250,-3.500,-3.000,8.226,0.211
25,-2.750,-3.000,-2.500,7.556,0.189
26,-2.250,-2.500,-2.000,6.986,0.161
27,-1.750,-2.000,-1.500,6.718,0.144
28,-1.250,-1.500,-1.000,6.181,0.123
29,-0.750,-1.000,-0.500,5.579,0.103
30,-0.250,-0.500,0.000,5.259,0.091
31,0.250,0.000,0.500,5.007,0.082
32,0.750,0.500,1.000,4.624,0.069
33,1.250,1.000,1.500,4.432,0.064
34,1.750,1.500,2.000,4.186,0.057
35,2.250,2.000,2.500,4.116,0.052
36,2.750,2.500,3.000,3.871,0.047
37,3.250,3.000,3.500,3.716,0.044
38,3.750,3.500,4.000,3.590,0.041
39,4.250,4.000,4.500,3.462,0.038
40,4.750,4.500,5.000,3.378,0.036
41,5.250,5.000,5.500,3.220,0.034
42,5.750,5.500,6.000,3.166,0.033
43,6.250,6.000,6.500,3.002,0.031
44,6.750,6.500,7.000,2.865,0.029
45,7.250,7.000,7.500,2.724,0.027
46,7.750,7.500,8.000,2.626,0.026
47,8.250,8.000,8.500,2.453,0.024
48,8.750,8.500,9.000,2.294,0.022
49,9.250,9.000,9.500,2.149,0.021
50,9.750,9.500,10.000,2.021,0.019
51,10.250,10.000,10.500,0.000,0.000
52,10.750,10.500,11.000,0.000,0.000
53,11.250,11.000,11.500,0.000,0.000
54,11.750,11.500,12.000,0.000,0.000
55,12.250,12.000,12.500,0.000,0.000
56,12.750,12.500,13.000,0.000,0.000
57,13.250,13.000,13.500,0.000,0.000
58,13.750,13.500,14.000,0.000,0.000
59,14.250,14.000,14.500,0.000,0.000
60,14.750,14.500,15.000,0.000,0.000
