# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X'_{fp}   
# xbins      : 60   
# xlabel     :  X'_{fp} [rad]   
# xbin_width : 0.003 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.079,-0.080,-0.077,0.000,0.000
2,-0.076,-0.077,-0.075,0.000,0.000
3,-0.073,-0.075,-0.072,0.000,0.000
4,-0.071,-0.072,-0.069,0.000,0.000
5,-0.068,-0.069,-0.067,0.000,0.000
6,-0.065,-0.067,-0.064,0.000,0.000
7,-0.063,-0.064,-0.061,0.002,0.002
8,-0.060,-0.061,-0.059,0.084,0.021
9,-0.057,-0.059,-0.056,0.620,0.055
10,-0.055,-0.056,-0.053,1.798,0.111
11,-0.052,-0.053,-0.051,2.348,0.129
12,-0.049,-0.051,-0.048,3.078,0.143
13,-0.047,-0.048,-0.045,4.117,0.186
14,-0.044,-0.045,-0.043,4.653,0.189
15,-0.041,-0.043,-0.040,5.764,0.245
16,-0.039,-0.040,-0.037,6.242,0.230
17,-0.036,-0.037,-0.035,6.947,0.244
18,-0.033,-0.035,-0.032,7.805,0.260
19,-0.031,-0.032,-0.029,8.448,0.288
20,-0.028,-0.029,-0.027,8.835,0.282
21,-0.025,-0.027,-0.024,9.558,0.297
22,-0.023,-0.024,-0.021,9.537,0.289
23,-0.020,-0.021,-0.019,9.154,0.245
24,-0.017,-0.019,-0.016,9.290,0.254
25,-0.015,-0.016,-0.013,9.360,0.245
26,-0.012,-0.013,-0.011,9.012,0.222
27,-0.009,-0.011,-0.008,8.686,0.196
28,-0.007,-0.008,-0.005,8.034,0.178
29,-0.004,-0.005,-0.003,7.926,0.173
30,-0.001,-0.003,0.000,7.067,0.136
31,0.001,0.000,0.003,6.816,0.123
32,0.004,0.003,0.005,6.442,0.108
33,0.007,0.005,0.008,6.215,0.098
34,0.009,0.008,0.011,5.808,0.079
35,0.012,0.011,0.013,5.454,0.070
36,0.015,0.013,0.016,5.075,0.058
37,0.017,0.016,0.019,4.860,0.052
38,0.020,0.019,0.021,4.528,0.046
39,0.023,0.021,0.024,4.125,0.042
40,0.025,0.024,0.027,3.814,0.038
41,0.028,0.027,0.029,3.456,0.034
42,0.031,0.029,0.032,3.039,0.031
43,0.033,0.032,0.035,2.624,0.028
44,0.036,0.035,0.037,2.223,0.025
45,0.039,0.037,0.040,1.869,0.022
46,0.041,0.040,0.043,1.481,0.019
47,0.044,0.043,0.045,1.149,0.016
48,0.047,0.045,0.048,0.814,0.013
49,0.049,0.048,0.051,0.535,0.010
50,0.052,0.051,0.053,0.288,0.007
51,0.055,0.053,0.056,0.100,0.004
52,0.057,0.056,0.059,0.004,0.001
53,0.060,0.059,0.061,0.000,0.000
54,0.063,0.061,0.064,0.000,0.000
55,0.065,0.064,0.067,0.000,0.000
56,0.068,0.067,0.069,0.000,0.000
57,0.071,0.069,0.072,0.000,0.000
58,0.073,0.072,0.075,0.000,0.000
59,0.076,0.075,0.077,0.000,0.000
60,0.079,0.077,0.080,0.000,0.000
