# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Y_{fp}   
# xbins      : 60   
# xlabel     :  Y_{fp} [cm]   
# xbin_width : 0.667 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-14.667,-15.000,-14.333,0.562,0.041
2,-14.000,-14.333,-13.667,0.644,0.042
3,-13.333,-13.667,-13.000,0.787,0.047
4,-12.667,-13.000,-12.333,0.825,0.048
5,-12.000,-12.333,-11.667,1.037,0.053
6,-11.333,-11.667,-11.000,1.193,0.055
7,-10.667,-11.000,-10.333,1.320,0.055
8,-10.000,-10.333,-9.667,1.497,0.058
9,-9.333,-9.667,-9.000,1.665,0.058
10,-8.667,-9.000,-8.333,1.995,0.065
11,-8.000,-8.333,-7.667,2.127,0.063
12,-7.333,-7.667,-7.000,2.521,0.070
13,-6.667,-7.000,-6.333,2.746,0.070
14,-6.000,-6.333,-5.667,3.250,0.078
15,-5.333,-5.667,-5.000,3.460,0.075
16,-4.667,-5.000,-4.333,3.844,0.073
17,-4.000,-4.333,-3.667,4.631,0.084
18,-3.333,-3.667,-3.000,5.521,0.087
19,-2.667,-3.000,-2.333,6.147,0.085
20,-2.000,-2.333,-1.667,6.975,0.089
21,-1.333,-1.667,-1.000,7.472,0.090
22,-0.667,-1.000,-0.333,7.868,0.089
23,-0.000,-0.333,0.333,7.964,0.090
24,0.667,0.333,1.000,7.659,0.084
25,1.333,1.000,1.667,7.625,0.085
26,2.000,1.667,2.333,7.118,0.081
27,2.667,2.333,3.000,6.151,0.074
28,3.333,3.000,3.667,5.130,0.065
29,4.000,3.667,4.333,4.419,0.060
30,4.667,4.333,5.000,3.875,0.056
31,5.333,5.000,5.667,3.431,0.053
32,6.000,5.667,6.333,3.069,0.050
33,6.667,6.333,7.000,2.703,0.046
34,7.333,7.000,7.667,2.452,0.043
35,8.000,7.667,8.333,2.197,0.041
36,8.667,8.333,9.000,1.923,0.038
37,9.333,9.000,9.667,1.649,0.035
38,10.000,9.667,10.333,1.467,0.033
39,10.667,10.333,11.000,1.375,0.032
40,11.333,11.000,11.667,1.175,0.030
41,12.000,11.667,12.333,1.032,0.028
42,12.667,12.333,13.000,0.909,0.026
43,13.333,13.000,13.667,0.738,0.023
44,14.000,13.667,14.333,0.657,0.022
45,14.667,14.333,15.000,0.554,0.021
46,15.333,15.000,15.667,0.462,0.019
47,16.000,15.667,16.333,0.367,0.016
48,16.667,16.333,17.000,0.300,0.015
49,17.333,17.000,17.667,0.237,0.014
50,18.000,17.667,18.333,0.189,0.013
51,18.667,18.333,19.000,0.138,0.011
52,19.333,19.000,19.667,0.109,0.010
53,20.000,19.667,20.333,0.074,0.008
54,20.667,20.333,21.000,0.059,0.008
55,21.333,21.000,21.667,0.039,0.006
56,22.000,21.667,22.333,0.031,0.006
57,22.667,22.333,23.000,0.001,0.001
58,23.333,23.000,23.667,0.000,0.000
59,24.000,23.667,24.333,0.000,0.000
60,24.667,24.333,25.000,0.000,0.000
