# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS z_Target (Lab)   
# xbins      : 60   
# xlabel     :  z-Target [cm]   
# xbin_width : 0.333 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.833,-10.000,-9.667,0.000,0.000
2,-9.500,-9.667,-9.333,0.000,0.000
3,-9.167,-9.333,-9.000,0.000,0.000
4,-8.833,-9.000,-8.667,0.000,0.000
5,-8.500,-8.667,-8.333,0.000,0.000
6,-8.167,-8.333,-8.000,0.000,0.000
7,-7.833,-8.000,-7.667,0.000,0.000
8,-7.500,-7.667,-7.333,0.000,0.000
9,-7.167,-7.333,-7.000,0.000,0.000
10,-6.833,-7.000,-6.667,0.000,0.000
11,-6.500,-6.667,-6.333,0.000,0.000
12,-6.167,-6.333,-6.000,0.000,0.000
13,-5.833,-6.000,-5.667,0.001,0.001
14,-5.500,-5.667,-5.333,0.002,0.001
15,-5.167,-5.333,-5.000,0.012,0.009
16,-4.833,-5.000,-4.667,0.043,0.027
17,-4.500,-4.667,-4.333,0.038,0.022
18,-4.167,-4.333,-4.000,0.092,0.033
19,-3.833,-4.000,-3.667,1.976,1.415
20,-3.500,-3.667,-3.333,3.078,2.546
21,-3.167,-3.333,-3.000,7.074,2.551
22,-2.833,-3.000,-2.667,45.936,7.750
23,-2.500,-2.667,-2.333,94.478,13.081
24,-2.167,-2.333,-2.000,277.119,22.867
25,-1.833,-2.000,-1.667,710.637,39.714
26,-1.500,-1.667,-1.333,2039.028,71.611
27,-1.167,-1.333,-1.000,3328.471,91.211
28,-0.833,-1.000,-0.667,3841.176,96.901
29,-0.500,-0.667,-0.333,4365.606,106.987
30,-0.167,-0.333,0.000,4245.323,103.689
31,0.167,0.000,0.333,4379.488,107.350
32,0.500,0.333,0.667,4388.985,108.588
33,0.833,0.667,1.000,4107.691,106.277
34,1.167,1.000,1.333,3566.402,99.969
35,1.500,1.333,1.667,2254.779,78.556
36,1.833,1.667,2.000,733.604,42.733
37,2.167,2.000,2.333,273.225,25.156
38,2.500,2.333,2.667,67.905,9.169
39,2.833,2.667,3.000,29.285,6.992
40,3.167,3.000,3.333,10.056,4.258
41,3.500,3.333,3.667,4.136,1.545
42,3.833,3.667,4.000,0.335,0.260
43,4.167,4.000,4.333,0.095,0.046
44,4.500,4.333,4.667,0.151,0.144
45,4.833,4.667,5.000,0.001,0.001
46,5.167,5.000,5.333,0.013,0.007
47,5.500,5.333,5.667,0.004,0.002
48,5.833,5.667,6.000,0.001,0.001
49,6.167,6.000,6.333,0.000,0.000
50,6.500,6.333,6.667,0.000,0.000
51,6.833,6.667,7.000,0.000,0.000
52,7.167,7.000,7.333,0.000,0.000
53,7.500,7.333,7.667,0.000,0.000
54,7.833,7.667,8.000,0.000,0.000
55,8.167,8.000,8.333,0.000,0.000
56,8.500,8.333,8.667,0.000,0.000
57,8.833,8.667,9.000,0.000,0.000
58,9.167,9.000,9.333,0.000,0.000
59,9.500,9.333,9.667,0.000,0.000
60,9.833,9.667,10.000,0.000,0.000
