# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Ztar Difference   
# xbins      : 60   
# xlabel     :  z-Target Difference [cm]   
# xbin_width : 0.333 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.833,-10.000,-9.667,0.000,0.000
2,-9.500,-9.667,-9.333,0.000,0.000
3,-9.167,-9.333,-9.000,0.000,0.000
4,-8.833,-9.000,-8.667,0.000,0.000
5,-8.500,-8.667,-8.333,0.000,0.000
6,-8.167,-8.333,-8.000,0.000,0.000
7,-7.833,-8.000,-7.667,0.000,0.000
8,-7.500,-7.667,-7.333,0.000,0.000
9,-7.167,-7.333,-7.000,0.000,0.000
10,-6.833,-7.000,-6.667,0.000,0.000
11,-6.500,-6.667,-6.333,0.001,0.001
12,-6.167,-6.333,-6.000,0.007,0.007
13,-5.833,-6.000,-5.667,0.001,0.001
14,-5.500,-5.667,-5.333,0.004,0.003
15,-5.167,-5.333,-5.000,0.008,0.005
16,-4.833,-5.000,-4.667,0.038,0.015
17,-4.500,-4.667,-4.333,0.236,0.103
18,-4.167,-4.333,-4.000,2.449,1.409
19,-3.833,-4.000,-3.667,5.019,2.603
20,-3.500,-3.667,-3.333,9.500,3.565
21,-3.167,-3.333,-3.000,36.521,8.022
22,-2.833,-3.000,-2.667,86.077,13.905
23,-2.500,-2.667,-2.333,242.308,23.786
24,-2.167,-2.333,-2.000,435.165,30.799
25,-1.833,-2.000,-1.667,918.411,47.171
26,-1.500,-1.667,-1.333,1624.258,63.971
27,-1.167,-1.333,-1.000,2532.384,79.255
28,-0.833,-1.000,-0.667,3686.398,99.990
29,-0.500,-0.667,-0.333,4643.006,109.946
30,-0.167,-0.333,0.000,5340.689,118.794
31,0.167,0.000,0.333,5347.929,122.264
32,0.500,0.333,0.667,4507.478,107.460
33,0.833,0.667,1.000,3526.255,96.105
34,1.167,1.000,1.333,2503.564,78.792
35,1.500,1.333,1.667,1646.864,65.410
36,1.833,1.667,2.000,850.885,45.514
37,2.167,2.000,2.333,472.613,35.113
38,2.500,2.333,2.667,174.432,17.685
39,2.833,2.667,3.000,101.190,13.222
40,3.167,3.000,3.333,62.956,12.503
41,3.500,3.333,3.667,10.068,1.753
42,3.833,3.667,4.000,6.835,2.777
43,4.167,4.000,4.333,1.445,0.420
44,4.500,4.333,4.667,0.527,0.194
45,4.833,4.667,5.000,0.225,0.120
46,5.167,5.000,5.333,0.134,0.077
47,5.500,5.333,5.667,0.003,0.002
48,5.833,5.667,6.000,0.002,0.001
49,6.167,6.000,6.333,0.000,0.000
50,6.500,6.333,6.667,0.011,0.007
51,6.833,6.667,7.000,0.000,0.000
52,7.167,7.000,7.333,0.000,0.000
53,7.500,7.333,7.667,0.000,0.000
54,7.833,7.667,8.000,0.000,0.000
55,8.167,8.000,8.333,0.000,0.000
56,8.500,8.333,8.667,0.000,0.000
57,8.833,8.667,9.000,0.000,0.000
58,9.167,9.000,9.333,0.000,0.000
59,9.500,9.333,9.667,0.000,0.000
60,9.833,9.667,10.000,0.000,0.000
