# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X'_{fp}   
# xbins      : 60   
# xlabel     :  X'_{fp} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.059,-0.060,-0.058,0.000,0.000
2,-0.057,-0.058,-0.056,0.000,0.000
3,-0.055,-0.056,-0.054,0.000,0.000
4,-0.053,-0.054,-0.052,0.000,0.000
5,-0.051,-0.052,-0.050,0.000,0.000
6,-0.049,-0.050,-0.048,0.000,0.000
7,-0.047,-0.048,-0.046,0.004,0.001
8,-0.045,-0.046,-0.044,0.045,0.003
9,-0.043,-0.044,-0.042,0.186,0.007
10,-0.041,-0.042,-0.040,0.489,0.013
11,-0.039,-0.040,-0.038,0.938,0.020
12,-0.037,-0.038,-0.036,1.357,0.026
13,-0.035,-0.036,-0.034,1.950,0.042
14,-0.033,-0.034,-0.032,2.842,0.070
15,-0.031,-0.032,-0.030,4.275,0.140
16,-0.029,-0.030,-0.028,6.790,0.268
17,-0.027,-0.028,-0.026,13.131,0.837
18,-0.025,-0.026,-0.024,25.681,1.684
19,-0.023,-0.024,-0.022,55.529,3.677
20,-0.021,-0.022,-0.020,135.989,10.693
21,-0.019,-0.020,-0.018,345.408,26.210
22,-0.017,-0.018,-0.016,616.851,42.123
23,-0.015,-0.016,-0.014,1068.974,60.090
24,-0.013,-0.014,-0.012,1627.349,78.051
25,-0.011,-0.012,-0.010,2074.664,86.215
26,-0.009,-0.010,-0.008,2245.833,89.011
27,-0.007,-0.008,-0.006,2329.676,87.931
28,-0.005,-0.006,-0.004,2766.314,100.601
29,-0.003,-0.004,-0.002,2792.780,98.606
30,-0.001,-0.002,0.000,2736.944,98.927
31,0.001,0.000,0.002,2573.014,95.249
32,0.003,0.002,0.004,2450.408,94.393
33,0.005,0.004,0.006,1950.281,86.952
34,0.007,0.006,0.008,1537.194,75.109
35,0.009,0.008,0.010,971.751,54.599
36,0.011,0.010,0.012,426.515,25.413
37,0.013,0.012,0.014,209.953,15.366
38,0.015,0.014,0.016,82.333,4.245
39,0.017,0.016,0.018,35.095,1.420
40,0.019,0.018,0.020,17.142,0.591
41,0.021,0.020,0.022,10.086,0.262
42,0.023,0.022,0.024,5.875,0.105
43,0.025,0.024,0.026,3.901,0.064
44,0.027,0.026,0.028,2.350,0.036
45,0.029,0.028,0.030,1.242,0.022
46,0.031,0.030,0.032,0.607,0.013
47,0.033,0.032,0.034,0.202,0.006
48,0.035,0.034,0.036,0.040,0.003
49,0.037,0.036,0.038,0.001,0.000
50,0.039,0.038,0.040,0.000,0.000
51,0.041,0.040,0.042,0.000,0.000
52,0.043,0.042,0.044,0.000,0.000
53,0.045,0.044,0.046,0.000,0.000
54,0.047,0.046,0.048,0.000,0.000
55,0.049,0.048,0.050,0.000,0.000
56,0.051,0.050,0.052,0.000,0.000
57,0.053,0.052,0.054,0.000,0.000
58,0.055,0.054,0.056,0.000,0.000
59,0.057,0.056,0.058,0.000,0.000
60,0.059,0.058,0.060,0.000,0.000
