# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : x-Bjorken (2D Average) 
# ybins      : 30 
# ylabel     :  P_{m} [GeV/c] 
# xbins      : 19 
# xlabel     :  #theta_{rq} [deg] 
# ybin_width : 0.040 
# xbin_width : 10.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     22,         1,         1,             5,         0,        10,        0.02,         0,        0.04,           0,             0
     23,         2,         1,            15,        10,        20,        0.02,         0,        0.04,           0,             0
     24,         3,         1,            25,        20,        30,        0.02,         0,        0.04,           0,             0
     25,         4,         1,            35,        30,        40,        0.02,         0,        0.04,           0,             0
     26,         5,         1,            45,        40,        50,        0.02,         0,        0.04,           0,             0
     27,         6,         1,            55,        50,        60,        0.02,         0,        0.04,     1.01388,       1.01451
     28,         7,         1,            65,        60,        70,        0.02,         0,        0.04,     1.03308,      0.438591
     29,         8,         1,            75,        70,        80,        0.02,         0,        0.04,     1.03145,      0.127291
     30,         9,         1,            85,        80,        90,        0.02,         0,        0.04,     1.00108,     0.0548395
     31,        10,         1,            95,        90,       100,        0.02,         0,        0.04,    0.971562,     0.0627616
     32,        11,         1,           105,       100,       110,        0.02,         0,        0.04,    0.961805,      0.140616
     33,        12,         1,           115,       110,       120,        0.02,         0,        0.04,    0.958371,      0.221011
     34,        13,         1,           125,       120,       130,        0.02,         0,        0.04,    0.952819,      0.313414
     35,        14,         1,           135,       130,       140,        0.02,         0,        0.04,    0.956482,       0.41157
     36,        15,         1,           145,       140,       150,        0.02,         0,        0.04,    0.955559,      0.553476
     37,        16,         1,           155,       150,       160,        0.02,         0,        0.04,           0,             0
     38,        17,         1,           165,       160,       170,        0.02,         0,        0.04,    0.958616,      0.785062
     39,        18,         1,           175,       170,       180,        0.02,         0,        0.04,    0.933375,      0.935651
     40,        19,         1,           185,       180,       190,        0.02,         0,        0.04,           0,             0
     43,         1,         2,             5,         0,        10,        0.06,      0.04,        0.08,           0,             0
     44,         2,         2,            15,        10,        20,        0.06,      0.04,        0.08,     1.03756,      0.748159
     45,         3,         2,            25,        20,        30,        0.06,      0.04,        0.08,     1.02948,      0.704633
     46,         4,         2,            35,        30,        40,        0.06,      0.04,        0.08,     1.05511,      0.637718
     47,         5,         2,            45,        40,        50,        0.06,      0.04,        0.08,     1.05005,      0.376542
     48,         6,         2,            55,        50,        60,        0.06,      0.04,        0.08,     1.06296,      0.180313
     49,         7,         2,            65,        60,        70,        0.06,      0.04,        0.08,     1.06169,     0.0859549
     50,         8,         2,            75,        70,        80,        0.06,      0.04,        0.08,     1.04532,     0.0453129
     51,         9,         2,            85,        80,        90,        0.06,      0.04,        0.08,     1.00436,     0.0339741
     52,        10,         2,            95,        90,       100,        0.06,      0.04,        0.08,    0.959388,     0.0366299
     53,        11,         2,           105,       100,       110,        0.06,      0.04,        0.08,    0.939529,     0.0518891
     54,        12,         2,           115,       110,       120,        0.06,      0.04,        0.08,    0.934283,     0.0710763
     55,        13,         2,           125,       120,       130,        0.06,      0.04,        0.08,    0.926764,     0.0972124
     56,        14,         2,           135,       130,       140,        0.06,      0.04,        0.08,     0.93066,      0.129913
     57,        15,         2,           145,       140,       150,        0.06,      0.04,        0.08,    0.932893,      0.166312
     58,        16,         2,           155,       150,       160,        0.06,      0.04,        0.08,    0.931555,      0.210973
     59,        17,         2,           165,       160,       170,        0.06,      0.04,        0.08,    0.931051,      0.314656
     60,        18,         2,           175,       170,       180,        0.06,      0.04,        0.08,    0.937122,      0.702679
     61,        19,         2,           185,       180,       190,        0.06,      0.04,        0.08,           0,             0
     64,         1,         3,             5,         0,        10,         0.1,      0.08,        0.12,           0,             0
     65,         2,         3,            15,        10,        20,         0.1,      0.08,        0.12,       1.049,      0.391112
     66,         3,         3,            25,        20,        30,         0.1,      0.08,        0.12,     1.05116,      0.295872
     67,         4,         3,            35,        30,        40,         0.1,      0.08,        0.12,     1.06145,      0.201352
     68,         5,         3,            45,        40,        50,         0.1,      0.08,        0.12,     1.07579,      0.116121
     69,         6,         3,            55,        50,        60,         0.1,      0.08,        0.12,     1.08669,     0.0638015
     70,         7,         3,            65,        60,        70,         0.1,      0.08,        0.12,     1.08051,     0.0388451
     71,         8,         3,            75,        70,        80,         0.1,      0.08,        0.12,     1.05197,     0.0270133
     72,         9,         3,            85,        80,        90,         0.1,      0.08,        0.12,     1.00223,     0.0295713
     73,        10,         3,            95,        90,       100,         0.1,      0.08,        0.12,    0.955058,     0.0397497
     74,        11,         3,           105,       100,       110,         0.1,      0.08,        0.12,    0.926399,      0.048022
     75,        12,         3,           115,       110,       120,         0.1,      0.08,        0.12,    0.914249,     0.0635087
     76,        13,         3,           125,       120,       130,         0.1,      0.08,        0.12,    0.911499,      0.083168
     77,        14,         3,           135,       130,       140,         0.1,      0.08,        0.12,     0.91081,      0.104961
     78,        15,         3,           145,       140,       150,         0.1,      0.08,        0.12,    0.909026,      0.137107
     79,        16,         3,           155,       150,       160,         0.1,      0.08,        0.12,    0.913755,      0.205457
     80,        17,         3,           165,       160,       170,         0.1,      0.08,        0.12,    0.916685,      0.305214
     81,        18,         3,           175,       170,       180,         0.1,      0.08,        0.12,    0.907009,      0.593861
     82,        19,         3,           185,       180,       190,         0.1,      0.08,        0.12,           0,             0
     85,         1,         4,             5,         0,        10,        0.14,      0.12,        0.16,     1.05303,      0.495687
     86,         2,         4,            15,        10,        20,        0.14,      0.12,        0.16,     1.07367,      0.250499
     87,         3,         4,            25,        20,        30,        0.14,      0.12,        0.16,     1.07768,      0.151154
     88,         4,         4,            35,        30,        40,        0.14,      0.12,        0.16,      1.0931,     0.0991595
     89,         5,         4,            45,        40,        50,        0.14,      0.12,        0.16,     1.10974,     0.0578868
     90,         6,         4,            55,        50,        60,        0.14,      0.12,        0.16,     1.11296,     0.0360775
     91,         7,         4,            65,        60,        70,        0.14,      0.12,        0.16,     1.09516,     0.0241096
     92,         8,         4,            75,        70,        80,        0.14,      0.12,        0.16,      1.0551,     0.0231426
     93,         9,         4,            85,        80,        90,        0.14,      0.12,        0.16,    0.993603,     0.0315494
     94,        10,         4,            95,        90,       100,        0.14,      0.12,        0.16,    0.948578,      0.044617
     95,        11,         4,           105,       100,       110,        0.14,      0.12,        0.16,     0.92233,     0.0588432
     96,        12,         4,           115,       110,       120,        0.14,      0.12,        0.16,    0.909353,     0.0721678
     97,        13,         4,           125,       120,       130,        0.14,      0.12,        0.16,    0.901332,     0.0892957
     98,        14,         4,           135,       130,       140,        0.14,      0.12,        0.16,    0.901062,      0.115983
     99,        15,         4,           145,       140,       150,        0.14,      0.12,        0.16,    0.896228,      0.168521
    100,        16,         4,           155,       150,       160,        0.14,      0.12,        0.16,    0.894465,      0.188732
    101,        17,         4,           165,       160,       170,        0.14,      0.12,        0.16,    0.894147,      0.239777
    102,        18,         4,           175,       170,       180,        0.14,      0.12,        0.16,    0.924273,      0.461078
    103,        19,         4,           185,       180,       190,        0.14,      0.12,        0.16,           0,             0
