# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Energy Transfer, $\nu (2D Average) 
# ybins      : 30 
# ylabel     :  P_{m} [GeV/c] 
# xbins      : 19 
# xlabel     :  #theta_{rq} [deg] 
# ybin_width : 0.040 
# xbin_width : 10.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     22,         1,         1,             5,         0,        10,        0.02,         0,        0.04,           0,             0
     23,         2,         1,            15,        10,        20,        0.02,         0,        0.04,     1.98116,       2.80178
     24,         3,         1,            25,        20,        30,        0.02,         0,        0.04,     1.95227,       1.96737
     25,         4,         1,            35,        30,        40,        0.02,         0,        0.04,     1.93012,       1.98815
     26,         5,         1,            45,        40,        50,        0.02,         0,        0.04,     1.98307,        1.2918
     27,         6,         1,            55,        50,        60,        0.02,         0,        0.04,     1.95811,      0.784412
     28,         7,         1,            65,        60,        70,        0.02,         0,        0.04,     1.94257,      0.471363
     29,         8,         1,            75,        70,        80,        0.02,         0,        0.04,     1.91797,      0.196987
     30,         9,         1,            85,        80,        90,        0.02,         0,        0.04,     1.94525,     0.0963312
     31,        10,         1,            95,        90,       100,        0.02,         0,        0.04,     1.96482,      0.152993
     32,        11,         1,           105,       100,       110,        0.02,         0,        0.04,     1.95473,      0.336531
     33,        12,         1,           115,       110,       120,        0.02,         0,        0.04,     1.93272,       1.14063
     34,        13,         1,           125,       120,       130,        0.02,         0,        0.04,      1.9153,       1.60509
     35,        14,         1,           135,       130,       140,        0.02,         0,        0.04,     1.91557,        1.5855
     36,        15,         1,           145,       140,       150,        0.02,         0,        0.04,           0,             0
     37,        16,         1,           155,       150,       160,        0.02,         0,        0.04,           0,             0
     38,        17,         1,           165,       160,       170,        0.02,         0,        0.04,           0,             0
     39,        18,         1,           175,       170,       180,        0.02,         0,        0.04,           0,             0
     40,        19,         1,           185,       180,       190,        0.02,         0,        0.04,           0,             0
     43,         1,         2,             5,         0,        10,        0.06,      0.04,        0.08,     1.98576,       1.12047
     44,         2,         2,            15,        10,        20,        0.06,      0.04,        0.08,     1.96606,      0.722075
     45,         3,         2,            25,        20,        30,        0.06,      0.04,        0.08,        1.98,       0.51474
     46,         4,         2,            35,        30,        40,        0.06,      0.04,        0.08,     1.98138,      0.384271
     47,         5,         2,            45,        40,        50,        0.06,      0.04,        0.08,     1.96785,      0.250449
     48,         6,         2,            55,        50,        60,        0.06,      0.04,        0.08,     1.95279,      0.185978
     49,         7,         2,            65,        60,        70,        0.06,      0.04,        0.08,     1.93258,      0.114933
     50,         8,         2,            75,        70,        80,        0.06,      0.04,        0.08,     1.92569,     0.0633023
     51,         9,         2,            85,        80,        90,        0.06,      0.04,        0.08,     1.94621,     0.0628157
     52,        10,         2,            95,        90,       100,        0.06,      0.04,        0.08,     1.97385,     0.0962706
     53,        11,         2,           105,       100,       110,        0.06,      0.04,        0.08,        1.98,      0.157144
     54,        12,         2,           115,       110,       120,        0.06,      0.04,        0.08,     1.96388,       0.40764
     55,        13,         2,           125,       120,       130,        0.06,      0.04,        0.08,     1.95057,      0.710928
     56,        14,         2,           135,       130,       140,        0.06,      0.04,        0.08,      1.9334,       1.36585
     57,        15,         2,           145,       140,       150,        0.06,      0.04,        0.08,     1.94586,       1.94659
     58,        16,         2,           155,       150,       160,        0.06,      0.04,        0.08,     1.95431,       2.76381
     59,        17,         2,           165,       160,       170,        0.06,      0.04,        0.08,           0,             0
     60,        18,         2,           175,       170,       180,        0.06,      0.04,        0.08,           0,             0
     61,        19,         2,           185,       180,       190,        0.06,      0.04,        0.08,           0,             0
     64,         1,         3,             5,         0,        10,         0.1,      0.08,        0.12,     1.95995,      0.670845
     65,         2,         3,            15,        10,        20,         0.1,      0.08,        0.12,     1.98658,       0.36682
     66,         3,         3,            25,        20,        30,         0.1,      0.08,        0.12,     1.97391,      0.245369
     67,         4,         3,            35,        30,        40,         0.1,      0.08,        0.12,     1.97395,      0.181453
     68,         5,         3,            45,        40,        50,         0.1,      0.08,        0.12,     1.96765,      0.124963
     69,         6,         3,            55,        50,        60,         0.1,      0.08,        0.12,     1.93708,     0.0843151
     70,         7,         3,            65,        60,        70,         0.1,      0.08,        0.12,      1.9132,     0.0556374
     71,         8,         3,            75,        70,        80,         0.1,      0.08,        0.12,     1.91793,     0.0455962
     72,         9,         3,            85,        80,        90,         0.1,      0.08,        0.12,     1.95949,     0.0615531
     73,        10,         3,            95,        90,       100,         0.1,      0.08,        0.12,     1.98837,      0.087351
     74,        11,         3,           105,       100,       110,         0.1,      0.08,        0.12,     2.00092,      0.135439
     75,        12,         3,           115,       110,       120,         0.1,      0.08,        0.12,     1.99209,       0.24304
     76,        13,         3,           125,       120,       130,         0.1,      0.08,        0.12,     1.97989,      0.511773
     77,        14,         3,           135,       130,       140,         0.1,      0.08,        0.12,     1.96676,      0.698015
     78,        15,         3,           145,       140,       150,         0.1,      0.08,        0.12,     1.94459,       2.11286
     79,        16,         3,           155,       150,       160,         0.1,      0.08,        0.12,     1.95578,       2.20632
     80,        17,         3,           165,       160,       170,         0.1,      0.08,        0.12,     1.96647,       2.78101
     81,        18,         3,           175,       170,       180,         0.1,      0.08,        0.12,     1.93554,       2.73727
     82,        19,         3,           185,       180,       190,         0.1,      0.08,        0.12,           0,             0
     85,         1,         4,             5,         0,        10,        0.14,      0.12,        0.16,     1.95171,      0.429811
     86,         2,         4,            15,        10,        20,        0.14,      0.12,        0.16,     1.96929,      0.229957
     87,         3,         4,            25,        20,        30,        0.14,      0.12,        0.16,     1.96572,      0.163045
     88,         4,         4,            35,        30,        40,        0.14,      0.12,        0.16,     1.96206,      0.110625
     89,         5,         4,            45,        40,        50,        0.14,      0.12,        0.16,     1.94314,     0.0753443
     90,         6,         4,            55,        50,        60,        0.14,      0.12,        0.16,     1.91063,     0.0533081
     91,         7,         4,            65,        60,        70,        0.14,      0.12,        0.16,     1.88752,     0.0396305
     92,         8,         4,            75,        70,        80,        0.14,      0.12,        0.16,     1.91152,     0.0447815
     93,         9,         4,            85,        80,        90,        0.14,      0.12,        0.16,     1.97564,     0.0665156
     94,        10,         4,            95,        90,       100,        0.14,      0.12,        0.16,     2.00254,     0.0874751
     95,        11,         4,           105,       100,       110,        0.14,      0.12,        0.16,     2.01255,      0.135065
     96,        12,         4,           115,       110,       120,        0.14,      0.12,        0.16,     2.00906,      0.205033
     97,        13,         4,           125,       120,       130,        0.14,      0.12,        0.16,      2.0061,      0.398499
