# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# xbins      = 60   | xlabel: HMS Delta [%%] 
# xbin width = 0.500 
#                   
# header definitions:
# ib:          x-bin number 
# xb:          x-axis bin number 
# x0:          x-axis central bin value 
# xlow:        x-axis low-edge bin value 
# xup:         x-axis up-edge bin value 
# bin_cnt:     bin content (y-axis) 
# bin_cnt_err: bin content error (y-axis) 
#                                        
#! ib[i,0]/  xb[i,1]/  x0[f,2]/  xlow[f,3]/  xup[f,4]/  bin_cnt[f,5]/  bin_cnt_err[f,6]/  
      1         1        -14.75       -15     -14.5    0.409488     0.0185061
      2         2        -14.25     -14.5       -14    0.724581     0.0280853
      3         3        -13.75       -14     -13.5     1.26307     0.0402463
      4         4        -13.25     -13.5       -13     1.95833     0.0514593
      5         5        -12.75       -13     -12.5     2.38924     0.0530093
      6         6        -12.25     -12.5       -12     3.01916     0.0598374
      7         7        -11.75       -12     -11.5     3.54455     0.0608414
      8         8        -11.25     -11.5       -11     4.24314     0.0659238
      9         9        -10.75       -11     -10.5     5.03864      0.071268
     10        10        -10.25     -10.5       -10     6.00465     0.0776473
     11        11         -9.75       -10      -9.5     7.02639     0.0799769
     12        12         -9.25      -9.5        -9     8.34292     0.0851762
     13        13         -8.75        -9      -8.5      9.8182     0.0892045
     14        14         -8.25      -8.5        -8     10.1989     0.0887494
     15        15         -7.75        -8      -7.5     10.3189     0.0846205
     16        16         -7.25      -7.5        -7     10.5079     0.0836817
     17        17         -6.75        -7      -6.5     10.1892     0.0776914
     18        18         -6.25      -6.5        -6     10.3373     0.0751846
     19        19         -5.75        -6      -5.5     10.3847     0.0738781
     20        20         -5.25      -5.5        -5     10.3232     0.0708205
     21        21         -4.75        -5      -4.5     10.4392     0.0696639
     22        22         -4.25      -4.5        -4     10.4326     0.0674542
     23        23         -3.75        -4      -3.5     10.2583     0.0654976
     24        24         -3.25      -3.5        -3     10.2319     0.0631931
     25        25         -2.75        -3      -2.5     9.99369     0.0604374
     26        26         -2.25      -2.5        -2     9.94747     0.0589377
     27        27         -1.75        -2      -1.5     9.74311     0.0571918
     28        28         -1.25      -1.5        -1     9.51706     0.0547391
     29        29         -0.75        -1      -0.5     9.38596     0.0535171
     30        30         -0.25      -0.5         0     8.95145     0.0505971
     31        31          0.25         0       0.5     8.73408     0.0490142
     32        32          0.75       0.5         1     8.47518     0.0471323
     33        33          1.25         1       1.5     8.10335     0.0450176
     34        34          1.75       1.5         2     7.66229     0.0424443
     35        35          2.25         2       2.5     7.25431     0.0400953
     36        36          2.75       2.5         3     6.84492     0.0378818
     37        37          3.25         3       3.5     6.35048     0.0350466
     38        38          3.75       3.5         4     5.82183     0.0322842
     39        39          4.25         4       4.5     5.34905     0.0296705
     40        40          4.75       4.5         5     4.80067     0.0266864
     41        41          5.25         5       5.5     4.29032     0.0241215
     42        42          5.75       5.5         6     3.81131     0.0213442
     43        43          6.25         6       6.5     3.27004     0.0184108
     44        44          6.75       6.5         7     2.80124     0.0159239
     45        45          7.25         7       7.5     2.37898     0.0135635
     46        46          7.75       7.5         8     1.96575     0.0112548
     47        47          8.25         8       8.5     1.59868    0.00927796
     48        48          8.75       8.5         9     1.29986    0.00761153
     49        49          9.25         9       9.5     1.02492    0.00616289
     50        50          9.75       9.5        10    0.779071    0.00473412
     51        51         10.25        10      10.5    0.587259    0.00367659
     52        52         10.75      10.5        11    0.427628    0.00278614
     53        53         11.25        11      11.5    0.306068    0.00209586
     54        54         11.75      11.5        12    0.199561     0.0014631
     55        55         12.25        12      12.5    0.128961    0.00102876
     56        56         12.75      12.5        13   0.0695886   0.000659291
     57        57         13.25        13      13.5   0.0350126    0.00040415
     58        58         13.75      13.5        14   0.0152488   0.000225619
     59        59         14.25        14      14.5  0.00582608   0.000120354
     60        60         14.75      14.5        15  0.00173998   5.49269e-05
